	unsorted	sorted
9390	[10, 2, 16, 10, 24]	[2, 10, 10, 16, 24]
9391	[5, 9, 12, 21, 18]	[5, 9, 12, 18, 21]
9392	[4, 24, 20, 6, 28]	[4, 6, 20, 24, 28]
9393	[8, 10, 14, 10, 36]	[8, 10, 10, 14, 36]
9394	[15, 18, 24, 40, 5]	[5, 15, 18, 24, 40]
9395	[12, 12, 16, 10, 5]	[5, 10, 12, 12, 16]
9396	[10, 6, 15, 16, 40]	[6, 10, 15, 16, 40]
9397	[12, 10, 6, 6, 7]	[6, 6, 7, 10, 12]
9398	[6, 10, 4, 18, 30]	[4, 6, 10, 18, 30]
9399	[5, 3, 12, 28, 16]	[3, 5, 12, 16, 28]
9400	[20, 2, 16, 30, 12]	[2, 12, 16, 20, 30]
9401	[20, 15, 28, 18, 20]	[15, 18, 20, 20, 28]
9402	[6, 12, 20, 28, 28]	[6, 12, 20, 28, 28]
9403	[3, 10, 12, 20, 36]	[3, 10, 12, 20, 36]
9404	[2, 12, 3, 12, 24]	[2, 3, 12, 12, 24]
9405	[6, 12, 7, 7, 6]	[6, 6, 7, 7, 12]
9406	[25, 18, 16, 32, 18]	[16, 18, 18, 25, 32]
9407	[12, 15, 30, 24, 10]	[10, 12, 15, 24, 30]
9408	[1, 2, 20, 20, 9]	[1, 2, 9, 20, 20]
9409	[8, 12, 6, 5, 24]	[5, 6, 8, 12, 24]
9410	[15, 10, 6, 4, 27]	[4, 6, 10, 15, 27]
9411	[4, 30, 10, 30, 35]	[4, 10, 30, 30, 35]
9412	[20, 30, 15, 15, 25]	[15, 15, 20, 25, 30]
9413	[3, 16, 24, 7, 36]	[3, 7, 16, 24, 36]
9414	[1, 20, 28, 18, 21]	[1, 18, 20, 21, 28]
9415	[15, 2, 6, 8, 40]	[2, 6, 8, 15, 40]
9416	[1, 10, 6, 10, 36]	[1, 6, 10, 10, 36]
9417	[6, 18, 8, 8, 15]	[6, 8, 8, 15, 18]
9418	[6, 20, 7, 8, 15]	[6, 7, 8, 15, 20]
9419	[10, 3, 20, 7, 24]	[3, 7, 10, 20, 24]
9420	[6, 30, 12, 32, 45]	[6, 12, 30, 32, 45]
9421	[20, 6, 20, 35, 8]	[6, 8, 20, 20, 35]
9422	[20, 20, 3, 8, 27]	[3, 8, 20, 20, 27]
9423	[1, 8, 12, 15, 36]	[1, 8, 12, 15, 36]
9424	[5, 12, 3, 10, 12]	[3, 5, 10, 12, 12]
9425	[10, 12, 28, 14, 7]	[7, 10, 12, 14, 28]
9426	[3, 3, 20, 28, 40]	[3, 3, 20, 28, 40]
9427	[3, 2, 9, 30, 25]	[2, 3, 9, 25, 30]
9428	[4, 6, 6, 8, 36]	[4, 6, 6, 8, 36]
9429	[16, 6, 4, 8, 8]	[4, 6, 8, 8, 16]
9430	[8, 20, 12, 12, 35]	[8, 12, 12, 20, 35]
9431	[3, 12, 4, 20, 28]	[3, 4, 12, 20, 28]
9432	[8, 10, 8, 30, 6]	[6, 8, 8, 10, 30]
9433	[6, 20, 28, 6, 28]	[6, 6, 20, 28, 28]
9434	[10, 10, 6, 16, 28]	[6, 10, 10, 16, 28]
9435	[20, 12, 12, 32, 30]	[12, 12, 20, 30, 32]
9436	[9, 6, 15, 35, 18]	[6, 9, 15, 18, 35]
9437	[20, 4, 9, 6, 18]	[4, 6, 9, 18, 20]
9438	[12, 12, 10, 7, 30]	[7, 10, 12, 12, 30]
9439	[5, 24, 24, 14, 45]	[5, 14, 24, 24, 45]
9440	[5, 18, 28, 4, 20]	[4, 5, 18, 20, 28]
9441	[9, 2, 15, 15, 5]	[2, 5, 9, 15, 15]
9442	[8, 30, 14, 30, 24]	[8, 14, 24, 30, 30]
9443	[2, 5, 9, 14, 8]	[2, 5, 8, 9, 14]
9444	[6, 12, 5, 25, 35]	[5, 6, 12, 25, 35]
9445	[10, 18, 30, 25, 36]	[10, 18, 25, 30, 36]
9446	[15, 18, 3, 20, 18]	[3, 15, 18, 18, 20]
9447	[5, 2, 20, 20, 24]	[2, 5, 20, 20, 24]
9448	[5, 6, 7, 16, 7]	[5, 6, 7, 7, 16]
9449	[25, 10, 8, 10, 32]	[8, 10, 10, 25, 32]
9450	[15, 25, 14, 32, 15]	[14, 15, 15, 25, 32]
9451	[4, 24, 24, 16, 5]	[4, 5, 16, 24, 24]
9452	[10, 10, 35, 7, 10]	[7, 10, 10, 10, 35]
9453	[3, 15, 3, 24, 25]	[3, 3, 15, 24, 25]
9454	[5, 15, 18, 18, 9]	[5, 9, 15, 18, 18]
9455	[3, 12, 15, 4, 32]	[3, 4, 12, 15, 32]
9456	[3, 10, 4, 16, 6]	[3, 4, 6, 10, 16]
9457	[20, 8, 15, 40, 28]	[8, 15, 20, 28, 40]
9458	[15, 6, 20, 35, 14]	[6, 14, 15, 20, 35]
9459	[2, 15, 3, 40, 12]	[2, 3, 12, 15, 40]
9460	[6, 25, 7, 14, 12]	[6, 7, 12, 14, 25]
9461	[4, 15, 7, 20, 5]	[4, 5, 7, 15, 20]
9462	[9, 15, 24, 40, 35]	[9, 15, 24, 35, 40]
9463	[8, 20, 25, 30, 24]	[8, 20, 24, 25, 30]
9464	[10, 9, 8, 5, 6]	[5, 6, 8, 9, 10]
9465	[5, 30, 4, 32, 28]	[4, 5, 28, 30, 32]
9466	[1, 18, 6, 40, 9]	[1, 6, 9, 18, 40]
9467	[4, 2, 18, 12, 18]	[2, 4, 12, 18, 18]
9468	[4, 12, 7, 20, 5]	[4, 5, 7, 12, 20]
9469	[15, 8, 14, 15, 45]	[8, 14, 15, 15, 45]
9470	[20, 20, 28, 21, 6]	[6, 20, 20, 21, 28]
9471	[20, 20, 24, 18, 28]	[18, 20, 20, 24, 28]
9472	[2, 24, 16, 4, 27]	[2, 4, 16, 24, 27]
9473	[20, 15, 8, 15, 18]	[8, 15, 15, 18, 20]
9474	[3, 18, 4, 7, 8]	[3, 4, 7, 8, 18]
9475	[1, 12, 14, 7, 8]	[1, 7, 8, 12, 14]
9476	[20, 16, 18, 4, 10]	[4, 10, 16, 18, 20]
9477	[6, 20, 28, 14, 12]	[6, 12, 14, 20, 28]
9478	[3, 8, 16, 30, 15]	[3, 8, 15, 16, 30]
9479	[20, 30, 10, 30, 36]	[10, 20, 30, 30, 36]
9480	[1, 18, 10, 30, 32]	[1, 10, 18, 30, 32]
9481	[10, 3, 16, 12, 25]	[3, 10, 12, 16, 25]
9482	[6, 6, 30, 12, 15]	[6, 6, 12, 15, 30]
9483	[15, 4, 4, 40, 32]	[4, 4, 15, 32, 40]
9484	[10, 20, 5, 20, 35]	[5, 10, 20, 20, 35]
9485	[15, 8, 15, 14, 15]	[8, 14, 15, 15, 15]
9486	[15, 10, 28, 8, 8]	[8, 8, 10, 15, 28]
9487	[8, 8, 30, 32, 40]	[8, 8, 30, 32, 40]
9488	[3, 20, 15, 12, 24]	[3, 12, 15, 20, 24]
9489	[20, 6, 15, 8, 16]	[6, 8, 15, 16, 20]
9490	[1, 6, 24, 14, 6]	[1, 6, 6, 14, 24]
9491	[16, 4, 8, 5, 12]	[4, 5, 8, 12, 16]
9492	[8, 4, 15, 24, 10]	[4, 8, 10, 15, 24]
9493	[20, 2, 35, 24, 6]	[2, 6, 20, 24, 35]
9494	[12, 6, 18, 8, 10]	[6, 8, 10, 12, 18]
9495	[15, 24, 12, 25, 8]	[8, 12, 15, 24, 25]
9496	[20, 10, 15, 12, 36]	[10, 12, 15, 20, 36]
9497	[3, 15, 16, 6, 16]	[3, 6, 15, 16, 16]
9498	[16, 25, 5, 8, 16]	[5, 8, 16, 16, 25]
9499	[15, 25, 35, 24, 28]	[15, 24, 25, 28, 35]
9500	[12, 30, 7, 40, 30]	[7, 12, 30, 30, 40]
9501	[16, 8, 28, 32, 40]	[8, 16, 28, 32, 40]
9502	[20, 12, 30, 20, 36]	[12, 20, 20, 30, 36]
9503	[2, 15, 8, 12, 28]	[2, 8, 12, 15, 28]
9504	[3, 4, 3, 7, 18]	[3, 3, 4, 7, 18]
9505	[16, 6, 12, 21, 9]	[6, 9, 12, 16, 21]
9506	[1, 9, 7, 21, 15]	[1, 7, 9, 15, 21]
9507	[9, 15, 5, 21, 10]	[5, 9, 10, 15, 21]
9508	[10, 12, 12, 10, 6]	[6, 10, 10, 12, 12]
9509	[6, 6, 7, 20, 5]	[5, 6, 6, 7, 20]
9510	[15, 9, 4, 35, 21]	[4, 9, 15, 21, 35]
9511	[25, 10, 3, 30, 10]	[3, 10, 10, 25, 30]
9512	[4, 9, 20, 8, 16]	[4, 8, 9, 16, 20]
9513	[3, 24, 10, 18, 30]	[3, 10, 18, 24, 30]
9514	[12, 18, 8, 24, 8]	[8, 8, 12, 18, 24]
9515	[25, 25, 6, 4, 9]	[4, 6, 9, 25, 25]
9516	[10, 12, 18, 15, 40]	[10, 12, 15, 18, 40]
9517	[10, 9, 18, 20, 18]	[9, 10, 18, 18, 20]
9518	[8, 8, 14, 20, 20]	[8, 8, 14, 20, 20]
9519	[8, 3, 14, 6, 5]	[3, 5, 6, 8, 14]
9520	[15, 4, 8, 28, 35]	[4, 8, 15, 28, 35]
9521	[5, 8, 25, 25, 21]	[5, 8, 21, 25, 25]
9522	[12, 24, 3, 15, 18]	[3, 12, 15, 18, 24]
9523	[3, 15, 12, 28, 6]	[3, 6, 12, 15, 28]
9524	[2, 4, 35, 24, 8]	[2, 4, 8, 24, 35]
9525	[6, 16, 25, 12, 24]	[6, 12, 16, 24, 25]
9526	[10, 9, 10, 7, 7]	[7, 7, 9, 10, 10]
9527	[16, 10, 18, 20, 6]	[6, 10, 16, 18, 20]
9528	[16, 6, 28, 8, 7]	[6, 7, 8, 16, 28]
9529	[9, 4, 4, 24, 27]	[4, 4, 9, 24, 27]
9530	[15, 12, 4, 14, 9]	[4, 9, 12, 14, 15]
9531	[6, 20, 12, 28, 25]	[6, 12, 20, 25, 28]
9532	[5, 20, 8, 4, 9]	[4, 5, 8, 9, 20]
9533	[20, 6, 12, 35, 14]	[6, 12, 14, 20, 35]
9534	[4, 6, 20, 6, 12]	[4, 6, 6, 12, 20]
9535	[3, 4, 4, 8, 16]	[3, 4, 4, 8, 16]
9536	[4, 20, 21, 32, 18]	[4, 18, 20, 21, 32]
9537	[8, 30, 21, 18, 7]	[7, 8, 18, 21, 30]
9538	[10, 2, 24, 32, 25]	[2, 10, 24, 25, 32]
9539	[3, 15, 20, 24, 36]	[3, 15, 20, 24, 36]
9540	[2, 25, 12, 8, 30]	[2, 8, 12, 25, 30]
9541	[6, 15, 35, 24, 14]	[6, 14, 15, 24, 35]
9542	[12, 10, 24, 5, 7]	[5, 7, 10, 12, 24]
9543	[5, 10, 7, 30, 15]	[5, 7, 10, 15, 30]
9544	[9, 6, 12, 28, 30]	[6, 9, 12, 28, 30]
9545	[9, 20, 10, 6, 30]	[6, 9, 10, 20, 30]
9546	[20, 3, 12, 14, 24]	[3, 12, 14, 20, 24]
9547	[12, 12, 14, 8, 40]	[8, 12, 12, 14, 40]
9548	[5, 2, 20, 7, 40]	[2, 5, 7, 20, 40]
9549	[2, 18, 6, 18, 35]	[2, 6, 18, 18, 35]
9550	[15, 12, 14, 12, 10]	[10, 12, 12, 14, 15]
9551	[25, 15, 35, 4, 9]	[4, 9, 15, 25, 35]
9552	[2, 4, 30, 10, 24]	[2, 4, 10, 24, 30]
9553	[20, 10, 35, 25, 9]	[9, 10, 20, 25, 35]
9554	[16, 3, 10, 25, 21]	[3, 10, 16, 21, 25]
9555	[12, 12, 16, 15, 5]	[5, 12, 12, 15, 16]
9556	[2, 6, 15, 10, 20]	[2, 6, 10, 15, 20]
9557	[10, 2, 15, 24, 24]	[2, 10, 15, 24, 24]
9558	[12, 10, 14, 32, 32]	[10, 12, 14, 32, 32]
9559	[15, 12, 14, 28, 27]	[12, 14, 15, 27, 28]
9560	[15, 12, 12, 8, 27]	[8, 12, 12, 15, 27]
9561	[20, 8, 15, 35, 18]	[8, 15, 18, 20, 35]
9562	[2, 18, 14, 7, 25]	[2, 7, 14, 18, 25]
9563	[6, 18, 24, 7, 36]	[6, 7, 18, 24, 36]
9564	[5, 4, 35, 30, 21]	[4, 5, 21, 30, 35]
9565	[8, 12, 30, 32, 18]	[8, 12, 18, 30, 32]
9566	[4, 3, 5, 20, 8]	[3, 4, 5, 8, 20]
9567	[3, 6, 16, 35, 8]	[3, 6, 8, 16, 35]
9568	[25, 2, 30, 30, 24]	[2, 24, 25, 30, 30]
9569	[5, 20, 24, 20, 18]	[5, 18, 20, 20, 24]
9570	[20, 10, 12, 15, 27]	[10, 12, 15, 20, 27]
9571	[4, 8, 6, 20, 10]	[4, 6, 8, 10, 20]
9572	[10, 18, 7, 28, 15]	[7, 10, 15, 18, 28]
9573	[3, 25, 28, 35, 15]	[3, 15, 25, 28, 35]
9574	[5, 8, 30, 24, 8]	[5, 8, 8, 24, 30]
9575	[25, 12, 35, 30, 30]	[12, 25, 30, 30, 35]
9576	[12, 8, 15, 28, 24]	[8, 12, 15, 24, 28]
9577	[15, 30, 12, 30, 24]	[12, 15, 24, 30, 30]
9578	[2, 10, 28, 28, 9]	[2, 9, 10, 28, 28]
9579	[12, 15, 8, 10, 5]	[5, 8, 10, 12, 15]
9580	[8, 25, 10, 5, 9]	[5, 8, 9, 10, 25]
9581	[3, 10, 6, 10, 24]	[3, 6, 10, 10, 24]
9582	[2, 18, 6, 18, 7]	[2, 6, 7, 18, 18]
9583	[10, 9, 25, 6, 28]	[6, 9, 10, 25, 28]
9584	[6, 8, 25, 16, 27]	[6, 8, 16, 25, 27]
9585	[10, 20, 12, 8, 8]	[8, 8, 10, 12, 20]
9586	[20, 24, 3, 12, 32]	[3, 12, 20, 24, 32]
9587	[20, 15, 9, 20, 40]	[9, 15, 20, 20, 40]
9588	[1, 3, 14, 28, 14]	[1, 3, 14, 14, 28]
9589	[4, 5, 5, 20, 24]	[4, 5, 5, 20, 24]
9590	[15, 8, 7, 6, 5]	[5, 6, 7, 8, 15]
9591	[20, 18, 24, 25, 25]	[18, 20, 24, 25, 25]
9592	[3, 8, 20, 12, 7]	[3, 7, 8, 12, 20]
9593	[20, 2, 20, 18, 24]	[2, 18, 20, 20, 24]
9594	[12, 16, 20, 12, 10]	[10, 12, 12, 16, 20]
9595	[5, 8, 14, 16, 28]	[5, 8, 14, 16, 28]
9596	[5, 2, 20, 12, 12]	[2, 5, 12, 12, 20]
9597	[5, 20, 21, 8, 27]	[5, 8, 20, 21, 27]
9598	[4, 15, 14, 24, 20]	[4, 14, 15, 20, 24]
9599	[6, 8, 12, 30, 45]	[6, 8, 12, 30, 45]
9600	[6, 6, 10, 8, 27]	[6, 6, 8, 10, 27]
9601	[10, 6, 6, 35, 16]	[6, 6, 10, 16, 35]
9602	[16, 8, 30, 4, 15]	[4, 8, 15, 16, 30]
9603	[15, 8, 30, 4, 18]	[4, 8, 15, 18, 30]
9604	[3, 18, 15, 15, 35]	[3, 15, 15, 18, 35]
9605	[15, 9, 7, 24, 6]	[6, 7, 9, 15, 24]
9606	[10, 6, 35, 20, 27]	[6, 10, 20, 27, 35]
9607	[3, 15, 5, 8, 35]	[3, 5, 8, 15, 35]
9608	[10, 15, 30, 10, 15]	[10, 10, 15, 15, 30]
9609	[4, 12, 15, 25, 24]	[4, 12, 15, 24, 25]
9610	[12, 10, 16, 21, 10]	[10, 10, 12, 16, 21]
9611	[16, 12, 12, 32, 20]	[12, 12, 16, 20, 32]
9612	[8, 15, 15, 21, 6]	[6, 8, 15, 15, 21]
9613	[3, 4, 6, 40, 45]	[3, 4, 6, 40, 45]
9614	[4, 2, 15, 21, 30]	[2, 4, 15, 21, 30]
9615	[12, 4, 25, 24, 27]	[4, 12, 24, 25, 27]
9616	[8, 6, 12, 14, 20]	[6, 8, 12, 14, 20]
9617	[4, 20, 9, 5, 28]	[4, 5, 9, 20, 28]
9618	[4, 8, 20, 24, 6]	[4, 6, 8, 20, 24]
9619	[16, 4, 16, 6, 5]	[4, 5, 6, 16, 16]
9620	[3, 8, 15, 12, 28]	[3, 8, 12, 15, 28]
9621	[8, 24, 12, 8, 8]	[8, 8, 8, 12, 24]
9622	[20, 6, 15, 21, 25]	[6, 15, 20, 21, 25]
9623	[16, 20, 7, 16, 15]	[7, 15, 16, 16, 20]
9624	[4, 16, 15, 18, 25]	[4, 15, 16, 18, 25]
9625	[15, 6, 30, 16, 16]	[6, 15, 16, 16, 30]
9626	[4, 2, 30, 18, 21]	[2, 4, 18, 21, 30]
9627	[1, 2, 6, 4, 40]	[1, 2, 4, 6, 40]
9628	[5, 12, 15, 40, 7]	[5, 7, 12, 15, 40]
9629	[20, 6, 12, 7, 25]	[6, 7, 12, 20, 25]
9630	[16, 12, 15, 35, 30]	[12, 15, 16, 30, 35]
9631	[20, 4, 12, 4, 14]	[4, 4, 12, 14, 20]
9632	[4, 6, 28, 40, 25]	[4, 6, 25, 28, 40]
9633	[10, 18, 24, 20, 18]	[10, 18, 18, 20, 24]
9634	[4, 8, 25, 8, 27]	[4, 8, 8, 25, 27]
9635	[5, 20, 3, 32, 36]	[3, 5, 20, 32, 36]
9636	[2, 12, 9, 16, 40]	[2, 9, 12, 16, 40]
9637	[20, 12, 15, 21, 45]	[12, 15, 20, 21, 45]
9638	[12, 15, 18, 15, 35]	[12, 15, 15, 18, 35]
9639	[4, 6, 28, 20, 14]	[4, 6, 14, 20, 28]
9640	[16, 4, 12, 8, 10]	[4, 8, 10, 12, 16]
9641	[4, 15, 14, 24, 25]	[4, 14, 15, 24, 25]
9642	[6, 30, 20, 40, 24]	[6, 20, 24, 30, 40]
9643	[8, 18, 20, 40, 18]	[8, 18, 18, 20, 40]
9644	[6, 24, 35, 12, 24]	[6, 12, 24, 24, 35]
9645	[3, 12, 8, 25, 24]	[3, 8, 12, 24, 25]
9646	[4, 9, 14, 24, 18]	[4, 9, 14, 18, 24]
9647	[3, 6, 20, 21, 18]	[3, 6, 18, 20, 21]
9648	[8, 8, 20, 12, 30]	[8, 8, 12, 20, 30]
9649	[10, 6, 12, 25, 18]	[6, 10, 12, 18, 25]
9650	[6, 6, 10, 25, 9]	[6, 6, 9, 10, 25]
9651	[12, 12, 6, 40, 12]	[6, 12, 12, 12, 40]
9652	[16, 25, 24, 30, 12]	[12, 16, 24, 25, 30]
9653	[16, 6, 20, 30, 15]	[6, 15, 16, 20, 30]
9654	[3, 10, 21, 20, 45]	[3, 10, 20, 21, 45]
9655	[15, 8, 21, 12, 35]	[8, 12, 15, 21, 35]
9656	[4, 20, 15, 35, 25]	[4, 15, 20, 25, 35]
9657	[5, 15, 15, 24, 5]	[5, 5, 15, 15, 24]
9658	[20, 8, 35, 12, 20]	[8, 12, 20, 20, 35]
9659	[5, 20, 30, 25, 14]	[5, 14, 20, 25, 30]
9660	[10, 10, 15, 5, 8]	[5, 8, 10, 10, 15]
9661	[12, 10, 4, 16, 18]	[4, 10, 12, 16, 18]
9662	[8, 5, 25, 18, 14]	[5, 8, 14, 18, 25]
9663	[10, 8, 12, 24, 20]	[8, 10, 12, 20, 24]
9664	[6, 4, 7, 30, 36]	[4, 6, 7, 30, 36]
9665	[15, 20, 4, 5, 14]	[4, 5, 14, 15, 20]
9666	[12, 30, 8, 28, 7]	[7, 8, 12, 28, 30]
9667	[6, 2, 7, 32, 35]	[2, 6, 7, 32, 35]
9668	[8, 6, 25, 8, 8]	[6, 8, 8, 8, 25]
9669	[9, 6, 12, 12, 5]	[5, 6, 9, 12, 12]
9670	[8, 15, 12, 8, 35]	[8, 8, 12, 15, 35]
9671	[1, 10, 15, 35, 21]	[1, 10, 15, 21, 35]
9672	[4, 8, 7, 10, 9]	[4, 7, 8, 9, 10]
9673	[15, 8, 7, 32, 16]	[7, 8, 15, 16, 32]
9674	[8, 9, 8, 21, 35]	[8, 8, 9, 21, 35]
9675	[8, 12, 6, 28, 20]	[6, 8, 12, 20, 28]
9676	[5, 3, 30, 35, 18]	[3, 5, 18, 30, 35]
9677	[10, 12, 7, 24, 28]	[7, 10, 12, 24, 28]
9678	[16, 4, 8, 16, 32]	[4, 8, 16, 16, 32]
9679	[4, 4, 9, 16, 24]	[4, 4, 9, 16, 24]
9680	[20, 12, 18, 4, 6]	[4, 6, 12, 18, 20]
9681	[5, 12, 15, 24, 24]	[5, 12, 15, 24, 24]
9682	[2, 2, 24, 20, 30]	[2, 2, 20, 24, 30]
9683	[15, 10, 6, 40, 45]	[6, 10, 15, 40, 45]
9684	[15, 30, 28, 35, 24]	[15, 24, 28, 30, 35]
9685	[4, 16, 8, 16, 9]	[4, 8, 9, 16, 16]
9686	[3, 5, 12, 24, 28]	[3, 5, 12, 24, 28]
9687	[20, 15, 14, 5, 12]	[5, 12, 14, 15, 20]
9688	[16, 9, 7, 12, 36]	[7, 9, 12, 16, 36]
9689	[2, 24, 20, 10, 35]	[2, 10, 20, 24, 35]
9690	[12, 24, 16, 32, 16]	[12, 16, 16, 24, 32]
9691	[25, 10, 28, 15, 45]	[10, 15, 25, 28, 45]
9692	[8, 25, 24, 30, 14]	[8, 14, 24, 25, 30]
9693	[5, 12, 4, 28, 6]	[4, 5, 6, 12, 28]
9694	[8, 4, 20, 18, 36]	[4, 8, 18, 20, 36]
9695	[4, 20, 18, 5, 5]	[4, 5, 5, 18, 20]
9696	[16, 12, 18, 24, 8]	[8, 12, 16, 18, 24]
9697	[3, 12, 12, 25, 25]	[3, 12, 12, 25, 25]
9698	[6, 6, 15, 14, 14]	[6, 6, 14, 14, 15]
9699	[12, 15, 9, 20, 5]	[5, 9, 12, 15, 20]
9700	[2, 16, 3, 30, 45]	[2, 3, 16, 30, 45]
9701	[4, 10, 25, 8, 16]	[4, 8, 10, 16, 25]
9702	[3, 4, 7, 12, 18]	[3, 4, 7, 12, 18]
9703	[5, 25, 20, 30, 30]	[5, 20, 25, 30, 30]
9704	[4, 12, 12, 4, 15]	[4, 4, 12, 12, 15]
9705	[8, 4, 35, 18, 32]	[4, 8, 18, 32, 35]
9706	[2, 4, 28, 6, 6]	[2, 4, 6, 6, 28]
9707	[15, 16, 5, 14, 40]	[5, 14, 15, 16, 40]
9708	[1, 6, 35, 24, 6]	[1, 6, 6, 24, 35]
9709	[25, 4, 12, 24, 25]	[4, 12, 24, 25, 25]
9710	[8, 24, 3, 4, 21]	[3, 4, 8, 21, 24]
9711	[6, 24, 12, 5, 7]	[5, 6, 7, 12, 24]
9712	[10, 4, 15, 35, 21]	[4, 10, 15, 21, 35]
9713	[4, 3, 5, 30, 32]	[3, 4, 5, 30, 32]
9714	[12, 15, 35, 35, 35]	[12, 15, 35, 35, 35]
9715	[5, 8, 21, 18, 35]	[5, 8, 18, 21, 35]
9716	[10, 15, 12, 8, 30]	[8, 10, 12, 15, 30]
9717	[2, 8, 15, 40, 10]	[2, 8, 10, 15, 40]
9718	[20, 30, 6, 21, 7]	[6, 7, 20, 21, 30]
9719	[6, 6, 28, 24, 12]	[6, 6, 12, 24, 28]
9720	[6, 30, 24, 15, 12]	[6, 12, 15, 24, 30]
9721	[8, 6, 16, 40, 40]	[6, 8, 16, 40, 40]
9722	[4, 15, 16, 7, 28]	[4, 7, 15, 16, 28]
9723	[5, 20, 7, 12, 24]	[5, 7, 12, 20, 24]
9724	[12, 15, 25, 40, 21]	[12, 15, 21, 25, 40]
9725	[12, 15, 24, 25, 30]	[12, 15, 24, 25, 30]
9726	[16, 15, 16, 32, 24]	[15, 16, 16, 24, 32]
9727	[16, 6, 8, 28, 35]	[6, 8, 16, 28, 35]
9728	[15, 24, 12, 24, 25]	[12, 15, 24, 24, 25]
9729	[3, 10, 12, 5, 7]	[3, 5, 7, 10, 12]
9730	[16, 12, 6, 28, 45]	[6, 12, 16, 28, 45]
9731	[4, 5, 28, 8, 18]	[4, 5, 8, 18, 28]
9732	[20, 9, 20, 25, 14]	[9, 14, 20, 20, 25]
9733	[2, 6, 20, 30, 32]	[2, 6, 20, 30, 32]
9734	[8, 24, 12, 28, 8]	[8, 8, 12, 24, 28]
9735	[10, 3, 21, 28, 10]	[3, 10, 10, 21, 28]
9736	[2, 10, 35, 20, 25]	[2, 10, 20, 25, 35]
9737	[2, 5, 12, 20, 24]	[2, 5, 12, 20, 24]
9738	[15, 15, 9, 16, 9]	[9, 9, 15, 15, 16]
9739	[4, 10, 8, 32, 30]	[4, 8, 10, 30, 32]
9740	[1, 25, 35, 30, 18]	[1, 18, 25, 30, 35]
9741	[12, 18, 7, 4, 12]	[4, 7, 12, 12, 18]
9742	[4, 9, 6, 28, 7]	[4, 6, 7, 9, 28]
9743	[3, 4, 12, 21, 18]	[3, 4, 12, 18, 21]
9744	[4, 6, 9, 20, 12]	[4, 6, 9, 12, 20]
9745	[15, 8, 6, 15, 12]	[6, 8, 12, 15, 15]
9746	[3, 12, 21, 12, 28]	[3, 12, 12, 21, 28]
9747	[5, 30, 30, 10, 15]	[5, 10, 15, 30, 30]
9748	[8, 9, 25, 32, 36]	[8, 9, 25, 32, 36]
9749	[5, 15, 30, 12, 24]	[5, 12, 15, 24, 30]
9750	[4, 12, 3, 20, 10]	[3, 4, 10, 12, 20]
9751	[1, 3, 25, 21, 32]	[1, 3, 21, 25, 32]
9752	[10, 20, 28, 24, 7]	[7, 10, 20, 24, 28]
9753	[20, 6, 6, 24, 25]	[6, 6, 20, 24, 25]
9754	[5, 9, 3, 21, 32]	[3, 5, 9, 21, 32]
9755	[12, 16, 15, 24, 45]	[12, 15, 16, 24, 45]
9756	[4, 3, 8, 21, 16]	[3, 4, 8, 16, 21]
9757	[4, 18, 30, 7, 32]	[4, 7, 18, 30, 32]
9758	[2, 3, 25, 12, 10]	[2, 3, 10, 12, 25]
9759	[4, 12, 14, 16, 30]	[4, 12, 14, 16, 30]
9760	[20, 20, 30, 8, 36]	[8, 20, 20, 30, 36]
9761	[3, 15, 24, 8, 20]	[3, 8, 15, 20, 24]
9762	[20, 8, 6, 4, 30]	[4, 6, 8, 20, 30]
9763	[12, 18, 10, 15, 32]	[10, 12, 15, 18, 32]
9764	[10, 20, 25, 28, 15]	[10, 15, 20, 25, 28]
9765	[5, 6, 7, 18, 28]	[5, 6, 7, 18, 28]
9766	[12, 2, 24, 15, 35]	[2, 12, 15, 24, 35]
9767	[16, 8, 5, 25, 16]	[5, 8, 16, 16, 25]
9768	[20, 15, 9, 20, 12]	[9, 12, 15, 20, 20]
9769	[6, 12, 14, 5, 30]	[5, 6, 12, 14, 30]
9770	[8, 8, 10, 30, 16]	[8, 8, 10, 16, 30]
9771	[15, 10, 12, 16, 8]	[8, 10, 12, 15, 16]
9772	[4, 10, 9, 12, 7]	[4, 7, 9, 10, 12]
9773	[15, 20, 6, 18, 30]	[6, 15, 18, 20, 30]
9774	[15, 24, 12, 28, 6]	[6, 12, 15, 24, 28]
9775	[5, 24, 4, 30, 24]	[4, 5, 24, 24, 30]
9776	[5, 18, 4, 32, 21]	[4, 5, 18, 21, 32]
9777	[12, 20, 12, 15, 25]	[12, 12, 15, 20, 25]
9778	[1, 10, 28, 5, 16]	[1, 5, 10, 16, 28]
9779	[5, 25, 35, 40, 9]	[5, 9, 25, 35, 40]
9780	[6, 10, 25, 24, 36]	[6, 10, 24, 25, 36]
9781	[4, 15, 30, 8, 18]	[4, 8, 15, 18, 30]
9782	[8, 24, 6, 15, 7]	[6, 7, 8, 15, 24]
9783	[8, 30, 20, 18, 16]	[8, 16, 18, 20, 30]
9784	[15, 3, 12, 18, 10]	[3, 10, 12, 15, 18]
9785	[8, 6, 9, 18, 24]	[6, 8, 9, 18, 24]
9786	[20, 12, 28, 14, 18]	[12, 14, 18, 20, 28]
9787	[12, 16, 12, 12, 18]	[12, 12, 12, 16, 18]
9788	[16, 15, 28, 18, 14]	[14, 15, 16, 18, 28]
